Case-Acc #,Avian influenza virus isolate,Hemagglutinin gene,Matrix gene,Neuraminidase gene,Nucleocapsid protein gene,Nuclear export protein and nonstructural protein 1 genes,Polymerase PA and PA-X protein genes,Polymerase PB1 and PB1-F2 protein genes,Polymerase PB2 gene
CDX16-3833,A/herring gull/Iceland/3833/2014(H16N3),MZ717537,MZ717538,MZ717539,MZ717540,MZ717541,MZ717542,MZ717543,MZ717544
CDX16-3850,A/great black-backed gull/Iceland/3850/2014(H16N3),MZ717401,MZ717402,MZ717403,MZ717404,MZ717405,MZ717406,MZ717407,MZ717408
CDX16-3863,A/herring gull/Iceland/3863/2014(H16N3),MZ717545,MZ717546,MZ717547,MZ717548,MZ717549,MZ717550,MZ717551,MZ717552
CDX16-3894,A/herring gull/Iceland/3894/2014(H16N3),MZ575074,MZ575075,MZ575076,MZ575077,MZ575078,MZ575079,MZ575080,MZ575081
CDX16-3899,A/Lesser Black-backed gull/Iceland/3899/2014(H16N3),MZ575082,MZ575083,MZ575084,MZ575085,MZ575086,MZ575087,MZ575088,MZ575089
CDX16-4266,A/Iceland gull/Iceland/4266/2015(H10N7),MK100291,MK100293,MK100292,MK100295,MK100294,MK100322,MK100323,MK100321
CDX16-4270,A/glaucous gull/Iceland/4270/2015(H10N7),MK100304,MK100306,MK100305,MK100308,MK100307,MK100309,MK100310,MK100311
CDX16-4377,A/glaucous gull/Iceland/4377/2015(H16N3),MZ717393,MZ717394,MZ717395,MZ717396,MZ717397,MZ717398,MZ717399,MZ717400
CDX16-4402,A/Iceland gull/Iceland/4402/2015(H10N7),MK100296,MK100298,MK100297,MK100300,MK100299,MK100301,MK100302,MK100303
CDX16-4549,A/herring gull/Iceland/4549/2015(H16N3),MZ717553,MZ717554,MZ717555,MZ717556,MZ717557,MZ717558,MZ717559,MZ717560
CDX16-4552,A/glaucous gull/Iceland/4552/2015(H10N7),MK100312,MK100314,MK100313,MK100316,MK100315,MK100317,MK100318,MK100319
CDX16-4835,A/ruddy turnstone/Iceland/4835/2016(H4N6),MZ717370,MZ717371,MZ717372,MZ717373,MZ717374,MZ717375,MZ717376,
CDX16-5241,A/common murre/Iceland/5241/2016(H7N5),MZ717377,MZ717378,MZ717379,MZ717380,MZ717381,MZ717382,MZ717383,MZ717384
CDX16-5425,A/lesser black-backed gull/Iceland/5425/2016(H6N8),MZ717569,MZ717570,MZ717571,MZ717572,MZ717573,MZ717574,MZ717575,MZ717576
CDX16-5720,A/greylag goose/Iceland/5720/2016(H6N8),MZ717409,MZ717410,MZ717411,MZ717412,MZ717413,MZ717414,MZ717415,MZ717416
CDX16-5725,A/greylag goose/Iceland/5725/2016(H6N8),MZ717417,MZ717418,MZ717419,MZ717420,MZ717421,MZ717422,MZ717423,MZ717424
CDX16-5748,A/greylag goose/Iceland/5748/2016(H6N8),MZ717425,MZ717426,MZ717427,MZ717428,MZ717429,MZ717430,MZ717431,MZ717432
CDX16-5751,A/greylag goose/Iceland/5751/2016(H6N8),MZ717433,MZ717434,MZ717435,MZ717436,MZ717437,MZ717438,MZ717439,MZ717440
CDX16-5759,A/greylag goose/Iceland/5759/2016(H6N8),MZ717441,MZ717442,MZ717443,MZ717444,MZ717445,MZ717446,MZ717447,MZ717448
CDX16-5772,A/greylag goose/Iceland/5772/2016(H6N1),MZ717449,MZ717450,MZ717451,MZ717452,MZ717453,MZ717454,MZ717455,MZ717456
CDX16-5871,A/greylag goose/Iceland/5871/2016(H6N8),MZ717457,MZ717458,MZ717459,MZ717460,MZ717461,MZ717462,MZ717463,MZ717464
CDX16-5872,A/greylag goose/Iceland/5872/2016(H6N8),MZ717465,MZ717466,MZ717467,MZ717468,MZ717469,MZ717470,MZ717471,MZ717472
CDX16-5878,A/greylag goose/Iceland/5878/2016(H6N8),MZ717473,MZ717474,MZ717475,MZ717476,MZ717477,MZ717478,MZ717479,MZ717480
CDX16-5879,A/greylag goose/Iceland/5879/2016(H6N8),MZ717481,MZ717482,MZ717483,MZ717484,MZ717485,MZ717486,MZ717487,MZ717488
CDX16-5901,A/greylag goose/Iceland/5901/2016(H6N8),MZ717489,MZ717490,MZ717491,MZ717492,MZ717493,MZ717494,MZ717495,MZ717496
CDX16-5905,A/greylag goose/Iceland/5905/2016(H6N8),MZ717497,MZ717498,MZ717499,MZ717500,MZ717501,MZ717502,MZ717503,MZ717504
CDX16-6020,A/greylag goose/Iceland/6020/2016(H6N8),MZ717505,MZ717506,MZ717507,MZ717508,MZ717509,MZ717510,MZ717511,MZ717512
CDX16-6023,A/greylag goose/Iceland/6023/2016(H6N8),MZ717513,MZ717514,MZ717515,MZ717516,MZ717517,MZ717518,MZ717519,MZ717520
CDX16-6028,A/greylag goose/Iceland/6028/2016(H6N8),MZ717521,MZ717522,MZ717523,MZ717524,MZ717525,MZ717526,MZ717527,MZ717528
CDX16-6076,A/herring gull/Iceland/6076/2016(H16N3),MZ717561,MZ717562,MZ717563,MZ717564,MZ717565,MZ717566,MZ717567,MZ717568
CDX16-6519,A/ruddy turnstone/Iceland/6519/2017(H2N5),MZ717585,MZ717586,MZ717587,MZ717588,MZ717589,MZ717590,MZ717591,MZ717592
CDX16-6743,A/sanderling/Iceland/6743/2017(H2N5),MZ717593,MZ717594,MZ717595,MZ717596,MZ717597,MZ717598,MZ717599,MZ717600
CDX16-6976,A/environmental/Iceland/6976/2018(H6N8),MZ717385,MZ717386,MZ717387,MZ717388,MZ717389,MZ717390,MZ717391,MZ717392
