"County","State","Outbreak Date","Flock Type","Flock Size"
"San Joaquin","California","12-05-2024","Commercial Duck Meat Bird","13000"
"Kingsbury","South Dakota","12-05-2023","WOAH Non-Poultry","370"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","254400"
"Spink","South Dakota","12-05-2023","Commercial Turkey Meat Bird","26600"
"Shawnee","Kansas","12-05-2023","WOAH Non-Poultry","70"
"Stanislaus","California","12-05-2023","Commercial Broiler Production","239900"
"Otter Tail","Minnesota","12-05-2023","Commercial Turkey Meat Bird","26300"
"Lawrence","Alabama","12-05-2022","WOAH Non-Poultry","460"
"Buena Vista","Iowa","12-05-2022","Commercial Turkey Meat Bird","40700"
"Charles Mix","South Dakota","12-05-2022","Commercial Turkey Meat Bird","34100"
"Clark","South Dakota","12-05-2022","Commercial Turkey Meat Bird","24300"
"Stanislaus","California","12-04-2024","Commercial Turkey Meat Bird","57700"
"Stanislaus","California","12-04-2024","Commercial Turkey Meat Bird","23100"
"Riverside","California","12-04-2024","WOAH Non-Poultry","70"
"Stanislaus","California","12-04-2024","Commercial Table Egg Layer","720800"
"Charles Mix","South Dakota","12-04-2024","Commercial Turkey Meat Bird","65200"
"Sacramento","California","12-04-2024","Commercial Turkey Meat Bird","61200"
"Pottawatomie","Kansas","12-04-2023","WOAH Non-Poultry","30"
"Barron","Wisconsin","12-04-2023","Commercial Turkey Meat Bird","113800"
"Mcpherson","South Dakota","12-04-2023","Commercial Turkey Meat Bird","40800"
"Johnson","Arkansas","12-04-2023","Commercial Broiler Production","109000"
"Douglas","Kansas","12-03-2024","WOAH Non-Poultry","100"
"Fresno","California","12-03-2024","Commercial Broiler Production","237100"
"Adair","Oklahoma","12-03-2024","Commercial Broiler Breeder","63700"
"Spink","South Dakota","12-03-2024","Commercial Turkey Meat Bird","41400"
"Utah","Utah","12-03-2024","WOAH Non-Poultry","30"
"Mcpherson","South Dakota","12-03-2024","Commercial Turkey Meat Bird","78200"
"Bottineau","North Dakota","12-02-2024","WOAH Poultry","30"
"Union","North Carolina","12-02-2022","WOAH Non-Poultry","9"
"Knox","Nebraska","12-02-2022","WOAH Non-Poultry","10"
"Clark","South Dakota","12-02-2022","WOAH Non-Poultry","40"
"Bay","Michigan","12-01-2023","WOAH Non-Poultry","60"
"Woodbury","Iowa","12-01-2023","WOAH Non-Poultry","40"
"Canyon","Idaho","12-01-2023","WOAH Non-Poultry","20"
"Darke","Ohio","12-01-2023","Commercial Turkey Meat Bird","33000"
"Jackson","Missouri","12-01-2022","WOAH Non-Poultry","30"
"Brookings","South Dakota","12-01-2022","WOAH Non-Poultry","210"
"Lake","South Dakota","12-01-2022","Commercial Turkey Meat Bird","78000"
"Arkansas","Arkansas","12-01-2022","WOAH Non-Poultry","20"
"San Benito","California","11-30-2023","Commercial Duck Breeder","5000"
"Minnehaha","South Dakota","11-30-2023","WOAH Non-Poultry","80"
"Bent","Colorado","11-30-2023","WOAH Poultry","4100"
"Sonoma","California","11-30-2023","Commercial Table Egg Layer","82500"
"Lewis And Clark","Montana","11-30-2023","WOAH Non-Poultry","6"
"Hamlin","South Dakota","11-30-2022","Commercial Turkey Meat Bird","50000"
"Charles Mix","South Dakota","11-30-2022","Commercial Turkey Meat Bird","75100"
"Grundy","Illinois","11-30-2022","WOAH Poultry","8800"
"Meeker","Minnesota","11-29-2024","Commercial Turkey Meat Bird","223800"
"Gibson","Tennessee","11-29-2024","Commercial Broiler Breeder","37700"
"Fresno","California","11-29-2024","Commercial Broiler Production","266400"
"Tulare","California","11-29-2024","Commercial Duck Breeder","26500"
"Merced","California","11-29-2024","Commercial Turkey Meat Bird","25200"
"Fresno","California","11-29-2024","Commercial Duck Breeder","23100"
"Morgan","Colorado","11-29-2023","WOAH Non-Poultry","60"
"Becker","Minnesota","11-29-2023","Commercial Turkey Breeder Hens","23200"
"Douglas","Minnesota","11-29-2023","Commercial Turkey Meat Bird","13500"
"Carroll","Arkansas","11-29-2023","Commercial Broiler Production","81200"
"Woodbury","Iowa","11-29-2023","WOAH Non-Poultry","10"
"Otter Tail","Minnesota","11-29-2023","Commercial Turkey Meat Bird","18800"
"Dickey","North Dakota","11-29-2023","WOAH Poultry","130"
"Spink","South Dakota","11-29-2022","Commercial Turkey Meat Bird","32900"
"Hanson","South Dakota","11-29-2022","Commercial Turkey Meat Bird","71600"
"Washington","Maryland","11-29-2022","Commercial Table Egg Breeder","24600"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","48700"
"Dickey","North Dakota","11-28-2023","Commercial Turkey Meat Bird","60300"
"Colfax","Nebraska","11-28-2023","WOAH Non-Poultry","20"
"Sioux","Iowa","11-28-2023","Commercial Table Egg Layer","1616300"
"Yankton","South Dakota","11-28-2023","Commercial Turkey Meat Bird","49000"
"Pierce","Washington","11-28-2023","WOAH Non-Poultry","540"
"Mcpherson","South Dakota","11-28-2023","Commercial Turkey Meat Bird","61800"
"Trempealeau","Wisconsin","11-28-2023","Commercial Turkey Meat Bird","23500"
"Emmons","North Dakota","11-28-2023","WOAH Non-Poultry","60"
"Webster","Missouri","11-28-2022","Commercial Turkey Meat Bird","15100"
"Iron","Utah","11-28-2022","WOAH Poultry","3000"
"Union","Oregon","11-27-2024","WOAH Non-Poultry","30"
"Sanpete","Utah","11-27-2024","Commercial Turkey Meat Bird","51800"
"Beadle","South Dakota","11-27-2024","Commercial Turkey Meat Bird","41100"
"Faulk","South Dakota","11-27-2024","Commercial Turkey Meat Bird","56000"
"Ransom","North Dakota","11-27-2024","Commercial Turkey Meat Bird","59500"
"Meeker","Minnesota","11-27-2024","Commercial Turkey Meat Bird","24700"
"Brown","Minnesota","11-27-2023","Commercial Turkey Breeder Hens","7800"
"Sonoma","California","11-27-2023","Commercial Duck Breeder","205500"
"Matanuska Susitna","Alaska","11-26-2024","WOAH Non-Poultry","70"
"Meeker","Minnesota","11-25-2024","Commercial Turkey Meat Bird","30500"
"Turner","South Dakota","11-25-2022","WOAH Non-Poultry","210"
"Durham","North Carolina","11-25-2022","WOAH Non-Poultry","30"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","67900"
"Matanuska Susitna","Alaska","11-25-2022","WOAH Non-Poultry","40"
"Dixon","Nebraska","11-25-2022","Commercial Table Egg Layer","1700000"
"Beadle","South Dakota","11-25-2022","Commercial Turkey Meat Bird","50700"
"Spink","South Dakota","11-25-2022","Commercial Turkey Meat Bird","55500"
"Clackamas","Oregon","11-24-2023","WOAH Non-Poultry","10"
"Otter Tail","Minnesota","11-24-2023","Commercial Breeder Operation","19400"
"Freeborn","Minnesota","11-24-2023","WOAH Non-Poultry","8"
"Kandiyohi","Minnesota","11-24-2023","Commercial Turkey Breeder Hens","7300"
"Columbia","Oregon","11-23-2022","WOAH Non-Poultry","30"
"Brule","South Dakota","11-23-2022","WOAH Non-Poultry","30"
"Davidson","Tennessee","11-23-2022","WOAH Non-Poultry","10"
"Faulk","South Dakota","11-23-2022","Commercial Turkey Meat Bird","49900"
"Broward","Florida","11-23-2022","WOAH Non-Poultry","10"
"Todd","Minnesota","11-23-2022","Commercial Turkey Meat Bird","44500"
"Merced","California","11-22-2024","Commercial Table Egg Pullets","538600"
"Mchenry","North Dakota","11-22-2024","WOAH Poultry","80"
"Stearns","Minnesota","11-22-2023","Commercial Turkey Meat Bird","34200"
"Brule","South Dakota","11-22-2023","Commercial Turkey Meat Bird","45100"
"Trempealeau","Wisconsin","11-22-2023","Commercial Turkey Meat Bird","51300"
"Otter Tail","Minnesota","11-22-2023","Commercial Turkey Meat Bird","28000"
"Webster","Missouri","11-22-2022","WOAH Poultry","9100"
"Beadle","South Dakota","11-22-2022","Commercial Turkey Meat Bird","29200"
"Lemhi","Idaho","11-21-2024","WOAH Non-Poultry","20"
"Roger Mills","Oklahoma","11-21-2024","WOAH Non-Poultry","40"
"Maricopa","Arizona","11-21-2024","WOAH Non-Poultry","490"
"Piute","Utah","11-21-2024","Commercial Turkey Meat Bird","35500"
"Salt Lake","Utah","11-21-2024","WOAH Non-Poultry","30"
"Tulare","California","11-21-2024","Commercial Duck Meat Bird","96900"
"Madera","California","11-21-2024","WOAH Non-Poultry","10"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","57400"
"Union","Ohio","11-21-2023","Commercial Table Egg Layer","1348900"
"Brown","Minnesota","11-21-2023","Commercial Turkey Breeder Hens","6400"
"Caroline","Maryland","11-21-2023","Commercial Broiler Production","192900"
"Big Stone","Minnesota","11-21-2023","Commercial Turkey Meat Bird","78500"
"Broward","Florida","11-21-2023","WOAH Non-Poultry","5"
"Clark","South Dakota","11-21-2023","Commercial Turkey Meat Bird","23600"
"Beadle","South Dakota","11-21-2023","Commercial Turkey Meat Bird","78200"
"Sumter","Georgia","11-21-2023","Commercial Raised for Release Waterfowl","30000"
"Grimes","Texas","11-21-2023","WOAH Non-Poultry","60"
"Kingsbury","South Dakota","11-21-2023","Commercial Turkey Meat Bird","28800"
"Kandiyohi","Minnesota","11-21-2023","Commercial Breeder Operation","8400"
"Washington","Maine","11-21-2022","WOAH Non-Poultry","90"
"Edmunds","South Dakota","11-21-2022","Commercial Turkey Meat Bird","34400"
"Matanuska Susitna","Alaska","11-20-2024","WOAH Non-Poultry","40"
"Marin","California","11-20-2024","Commercial Duck Meat Bird","6500"
"Kern","California","11-20-2024","Commercial Table Egg Layer","1022400"
"Taylor","Wisconsin","11-20-2023","WOAH Non-Poultry","8"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Hens","19200"
"Walworth","South Dakota","11-20-2023","WOAH Non-Poultry","0"
"San Juan","New Mexico","11-20-2023","WOAH Non-Poultry","20"
"Fresno","California","11-20-2023","Commercial Duck Breeder","23400"
"Swift","Minnesota","11-20-2023","Commercial Turkey Meat Bird","134300"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Breeder Replacement Hens","30100"
"Edmunds","South Dakota","11-20-2023","Commercial Turkey Meat Bird","33400"
"Day","South Dakota","11-20-2023","WOAH Poultry","60"
"Merced","California","11-19-2024","Commercial Turkey Meat Bird","38200"
"Henry","Illinois","11-19-2024","WOAH Poultry","5600"
"Fresno","California","11-19-2024","Commercial Broiler Production","172800"
"Whatcom","Washington","11-19-2024","WOAH Non-Poultry","40"
"Lake","South Dakota","11-19-2024","WOAH Non-Poultry","20"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","40"
"Martin","Minnesota","11-18-2024","WOAH Non-Poultry","30"
"Honolulu","Hawaii","11-18-2024","WOAH Non-Poultry","9"
"Union","North Carolina","11-18-2022","WOAH Non-Poultry","50"
"Utah","Utah","11-18-2022","WOAH Non-Poultry","270"
"Fall River","South Dakota","11-17-2023","WOAH Non-Poultry","80"
"Berks","Pennsylvania","11-17-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-17-2022","WOAH Non-Poultry","20"
"Duval","Florida","11-16-2023","WOAH Non-Poultry","50"
"Stearns","Minnesota","11-16-2023","Commercial Turkey Meat Bird","43100"
"Marion","Oregon","11-16-2023","Commercial Broiler Production","123500"
"Linn","Oregon","11-16-2023","Commercial Broiler Production","630700"
"Benton","Iowa","11-16-2023","WOAH Non-Poultry","90"
"Fresno","California","11-16-2022","Commercial Duck Breeder","34700"
"Hillsborough","Florida","11-16-2022","WOAH Non-Poultry","100"
"Seminole","Florida","11-16-2022","WOAH Poultry","100"
"Piute","Utah","11-15-2024","Commercial Turkey Meat Bird","35000"
"Honolulu","Hawaii","11-15-2024","WOAH Non-Poultry","70"
"Stanislaus","California","11-15-2024","Commercial Turkey Meat Bird","21500"
"Cass","Michigan","11-15-2023","WOAH Non-Poultry","20"
"Mcintosh","North Dakota","11-15-2023","WOAH Poultry","100"
"Edmunds","South Dakota","11-15-2023","Commercial Turkey Breeder Replacement Hens","24500"
"Lamoure","North Dakota","11-15-2023","Commercial Turkey Meat Bird","25100"
"Duval","Florida","11-15-2022","WOAH Non-Poultry","30"
"Otter Tail","Minnesota","11-15-2022","Commercial Turkey Meat Bird","28200"
"Bledsoe","Tennessee","11-15-2022","Commercial Broiler Breeder","20900"
"Merced","California","11-14-2024","Commercial Turkey Meat Bird","53200"
"Weld","Colorado","11-14-2024","WOAH Non-Poultry","80"
"Fresno","California","11-14-2024","Commercial Broiler Production","259000"
"San Joaquin","California","11-14-2024","Commercial Broiler Production","29100"
